ablation,run,epoch,train_loss,val_loss,train_acc,val_acc,ema_val_acc,total_time_seconds
label_smooth_05,3,8,0.9844,1.0235,0.9414,0.92,,55.9703
label_smooth_05,3,9,0.9409,0.9961,0.9746,0.9347,,62.1636
label_smooth_05,3,10,0.9189,0.9885,0.9844,0.9379,0.9424,68.3548
label_smooth_05,3,11,0.9238,0.9924,0.9766,0.9373,0.9421,74.5366
cosine_scheduler,1,0,1.5859,1.419,0.584,0.7132,,6.2078
cosine_scheduler,1,1,1.2607,1.2845,0.8086,0.7859,,12.4243
cosine_scheduler,1,2,1.207,1.2279,0.8125,0.8163,,18.6406
cosine_scheduler,1,3,1.1592,1.1242,0.8535,0.8683,,24.8587
cosine_scheduler,1,4,1.0674,1.1664,0.9062,0.8419,,31.0458
cosine_scheduler,1,5,1.0674,1.1072,0.9004,0.8774,,37.2496
cosine_scheduler,1,6,1.0439,1.0686,0.9102,0.8974,,43.4306
cosine_scheduler,1,7,1.0088,1.0553,0.9375,0.9037,,49.6132
cosine_scheduler,1,8,0.9922,1.0173,0.9473,0.9262,,55.7741
cosine_scheduler,1,9,0.957,0.9962,0.959,0.9343,,61.931
cosine_scheduler,1,10,0.9287,0.9947,0.9766,0.936,0.9409,68.1039
cosine_scheduler,1,11,0.9082,0.9957,0.9922,0.9361,0.9423,74.2821
cosine_scheduler,2,0,1.5195,1.361,0.6328,0.7397,,6.2247
cosine_scheduler,2,1,1.249,1.5444,0.8086,0.6593,,12.4359
cosine_scheduler,2,2,1.25,1.3229,0.7852,0.7589,,18.6354
cosine_scheduler,2,3,1.124,1.1438,0.8867,0.8626,,24.8351
cosine_scheduler,2,4,1.1094,1.1175,0.8828,0.8728,,31.0072
cosine_scheduler,2,5,1.0879,1.0993,0.8906,0.8843,,37.1911
cosine_scheduler,2,6,1.0449,1.0697,0.916,0.8973,,43.3546
cosine_scheduler,2,7,0.9917,1.0332,0.9414,0.9152,,49.5163
cosine_scheduler,2,8,1.002,1.0086,0.9434,0.9282,,55.6994
cosine_scheduler,2,9,0.9409,0.9955,0.9707,0.9352,,61.8921
cosine_scheduler,2,10,0.9194,0.9928,0.9844,0.9363,0.9426,68.0983
cosine_scheduler,2,11,0.9316,0.9884,0.9746,0.9403,0.9452,74.3255
